article_index,model,prompt,rouge1,rouge2,rougeL,bleu,bertscore_f1,ref_len,pred_len
2,google/flan-t5-base,zero,0.3090909090909091,0.16666666666666666,0.2545454545454545,0.09942008499469668,0.5780701041221619,38,70
2,google/flan-t5-base,few,0.30088495575221236,0.16216216216216214,0.26548672566371684,0.09552040806823771,0.578217089176178,38,73
3,google/flan-t5-base,zero,0.3132530120481928,0.1728395061728395,0.24096385542168675,0.0,0.6026133894920349,51,28
3,google/flan-t5-base,few,0.35294117647058826,0.1927710843373494,0.3058823529411765,0.10976282674539058,0.6167411804199219,51,32
4,google/flan-t5-base,zero,0.1923076923076923,0.08,0.15384615384615383,0.0,0.5065237879753113,29,23
4,google/flan-t5-base,few,0.24242424242424246,0.09374999999999999,0.24242424242424246,0.06698651592727943,0.5793870687484741,29,38
5,google/flan-t5-base,zero,0.36619718309859156,0.11594202898550723,0.2535211267605634,0.0,0.6507380604743958,41,32
5,google/flan-t5-base,few,0.35135135135135137,0.1111111111111111,0.24324324324324323,0.0,0.6393032073974609,41,35
6,google/flan-t5-base,zero,0.12698412698412698,0.0,0.09523809523809523,0.0,0.48530933260917664,21,43
6,google/flan-t5-base,few,0.12903225806451613,0.03333333333333333,0.09677419354838708,0.0,0.49114543199539185,21,43
7,google/flan-t5-base,zero,0.4235294117647058,0.16867469879518074,0.18823529411764706,0.08259302414640333,0.6423737406730652,49,37
7,google/flan-t5-base,few,0.40963855421686746,0.12345679012345678,0.16867469879518074,0.06528024755449378,0.6340711712837219,49,35
8,google/flan-t5-base,zero,0.3488372093023256,0.09523809523809525,0.2790697674418604,0.0677593464302556,0.5903187394142151,41,47
8,google/flan-t5-base,few,0.34210526315789475,0.05405405405405406,0.23684210526315788,0.07167931881891565,0.5915712118148804,41,37
9,google/flan-t5-base,zero,0.4646464646464646,0.3298969072164949,0.40404040404040403,0.15646146401944325,0.6755509376525879,65,35
9,google/flan-t5-base,few,0.4646464646464646,0.3298969072164949,0.40404040404040403,0.15646146401944325,0.6755509376525879,65,35
0,Vamsi/T5_Paraphrase_Paws,zero,0.4029850746268657,0.196969696969697,0.2537313432835821,0.0943120393703067,0.5881492495536804,49,90
0,Vamsi/T5_Paraphrase_Paws,few,0.4,0.3220338983050847,0.4,0.25843991323077686,0.6243171095848083,49,79
1,Vamsi/T5_Paraphrase_Paws,zero,0.3185840707964602,0.10810810810810811,0.21238938053097348,0.0,0.6298256516456604,34,82
1,Vamsi/T5_Paraphrase_Paws,few,0.17241379310344826,0.03508771929824561,0.10344827586206896,0.0,0.521973192691803,34,83
